,Educational Games I have played,Price (most free),Format,Play It?,Link,Catigory,Notes,Length (Hours),Grade Level (Minimum),Image Link,Lesson Plans,Filament Games
Sim,Csi: Flight Adv. Forces Of Flight,0,Flash,No,https://www.brainpop.com/games/csiflightadventuresforcesofflight/,Physics,Not a lot (Was obviously made for a museum),<1/4,,,,
Sim,Csi: Flight Adv. Flight School,0,Flash,No,https://www.brainpop.com/games/csiflightadventuresflightschool/,Physics,Not a lot (Was obviously made for a museum),<1/4,,,,
Sim,Construct-A-Saurus,0,Flash,No,https://www.brainpop.com/games/constructasaurus/,History,Dinosaurs (Was obviously made for a museum),<1/4,,,,
Sim,Stock Market Game,0,,No,https://www.newgrounds.com/portal/view/410269,Misc.,Stock market game (exactly as boring as it sounds),<1/4,,,,
,Vilmonic,,,No,,,,,,,,
Sim,Sticky Outie Bits,0,,No,https://www.newgrounds.com/portal/view/629919,Biology,Basic fish anatomy and artificial selection,<1/4,,,,
,Could Have Just Been A Video (Mostly Non-Interactive),Price,Format,Play It?,Link,,Notes,,,,,
Vid,Virtual Labs: U. Water Activity,0,Flash,No,https://www.brainpop.com/games/virtuallabsunderstandingwateractivity/,Job,Water concentration in food affects shelf life,<1/2,,,,
Vid,Virtual Labs (Series),0,Flash,No,https://www.brainpop.com/games/game-finder/?game_keyword=developer:%20NMSU%20Learning%20Games%20Lab,Job,Brief overview of some jobs,<1/2,,,,
Vid,Drake Equation,0,Flash,No,https://www.brainpop.com/games/drakeequation/,Misc.,Watch www.youtube.com/watch?v=8YmiRfCDeNg instead,<1/4,,,,
Vid,Close-Knit Neighbors,0,Flash,No,https://www.brainpop.com/games/closeknitneighbors/,Biology,Ecosystems of microbes,<1/4,,,,
Vid,Apollo 11 VR,0,VR Game,,http://store.steampowered.com/app/457860/Apollo_11_VR/,History,Moon Landing,,,,,
Vid,Titanic VR,0,VR Game,,http://store.steampowered.com/app/741430/Titanic_VR/,History,Titanic,,,,,
Vid,Operation Ebola!,0,Web,NO!,https://catlilli.itch.io/ebola,Biology,Ebola Virus (slide show with terrible game at the end),<0.25,9+,Ebola,,
Vid,Space Simulator,10,exe,NO!,https://store.steampowered.com/app/529060/Space_Simulator/,Astro-Physics,Flight simulator for historical space flights.,2?,4+,SpaceSimulator,,
Vid,Powers of Minus Ten,$2,IOS,No,http://powersofminusten.com/,Biology,Zoom in on cells to see them at different magnifications,<1,6+,POMT,,
,,,,,,,,,,,,
,Unindexed,Price,Format,Play It?,Link,,Notes,,,,,
,,,,,,,,,,,,
,Bill Nye: Stop the rock,,,,,,,,,,,
,Dr. Brain Series,,,,,,,,,,,
,Machineers,2x $5,exe,Maybe,https://store.steampowered.com/app/356090/Machineers__Episode_1_Tivoli_Town/,Systems,,2x 3,,Machineers,,
,Orbiter 2010,,,,,Astro-Physics,,,,,,
,Space Engine,,,,,,,,,,,
,Oregon trail,,,,,,,,,,,
,DragonBox Algebra,,,,https://itunes.apple.com/us/app/dragonbox-algebra-12/id634444186?mt=8,,,,,,,
,IFSCL (Code Lyoko fan game),0,,,,,Programming: Running command line,,,,,
,Quadrilateral Cowboy,20,,,http://store.steampowered.com/app/240440/Quadrilateral_Cowboy/,,Programming: Running command line,,,,,
,,,,,https://phet.colorado.edu/en/simulations/category/new,,,,,,,
,Open Source Physics at Singapore,0,,,,,,,,,,
,,,,,,,,,,,,
,Don't Flood,0,web,,http://pbskids.org/designsquad/games/dont_flood/,,Flooding and water runoff,,,,,
,Inside Einsteins Head,0,web,,https://www.lucify.com/inside-einsteins-head/,,Relativity,,,,,
,,,,,,,,,,,,
,Quantum Game with Photons,0,,,http://quantumgame.io/,,,,,,,
,,,,,https://www.bls.gov/k12/content/games/geography-quiz/geography-quiz.htm,,,,,,,
,Peacemaker,2,IOS & exe,,http://www.peacemakergame.com/,,Israel Palestinian conflict,,,,,
,,,,,,,,,,,,
,Periodictable game,,,,,,,,,,,
,Human Resource Machine,10,,,http://store.steampowered.com/app/375820/Human_Resource_Machine/,,Programming,,,,,
,,,,,,,,,,,,
,conspiracy code game - History,,,,LET ME KNOW IF YOU HAVE ACCESS. I CANN'T FIND A COPY.,,,,,,,
,the pox hunter,Not released yet,,,http://loki.stockton.edu/~games/PoxHunter.html,,Philadelphia born and raised` hunting down Smallpox most of my days.,,,,,
,Revolu-o-Industrial,,,,Do I really want to include this one?,,YAM TOSSER 2017!!!!!!!!!!!,,,,,
,,,,,,,,,,,,
,The Radix,,,,https://www.radixendeavor.org/teachers,,MMO: Must have reputation before requesting access,,,,,
,Simple Rockets,,IOS,,,,,,,,,
,Relativistic Donkey Kong,,Unit webGL,No,,,Relativity: shows but explains nothing,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,251,,,61,,,,,,,,
,# of cells filled - headers = Total # of games,,,Yes + YES!,,,,,,,,
,,,,,,,,,,,,
,,,,94,,,,,,,,
,,,,Yes + YES! + Maybe,,,,,,,,
,,,,,,,,,,,,
,,,,89,,,,,,,,
,,,,No,,,,,,,,
,,,,,,,,,,,,
,,,,194,,,,,,,,
,,,,Total games rated,,,,,,,,
